Series Name,Series Code,Country,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Afghanistan,AFG,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Albania,ALB,-1.22,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Algeria,DZA,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Angola,AGO,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Argentina,ARG,..,..,1.51,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Armenia,ARM,..,..,..,3.4,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Australia,AUS,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Austria,AUT,..,..,0.48,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Azerbaijan,AZE,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Bangladesh,BGD,..,..,..,..,1.35
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Belarus,BLR,..,..,..,..,4.06
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Belgium,BEL,..,..,0.13,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Belize,BLZ,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Benin,BEN,..,..,..,-4.79,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Bhutan,BTN,6.53,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Bolivia,BOL,..,..,6.32,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Bosnia and Herzegovina,BIH,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Botswana,BWA,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Brazil,BRA,..,..,..,3.92,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Bulgaria,BGR,..,..,0.43,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Burkina Faso,BFA,..,..,5.84,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Burundi,BDI,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Cabo Verde,CPV,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Cambodia,KHM,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Cameroon,CMR,..,..,1.33,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Canada,CAN,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Central African Republic,CAF,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Chad,TCD,..,..,..,..,..
"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,Chile,CHL,..,..,..,5.96,..
